Epoch 0, Loss: 0.806332528591156, time: 0.27 seconds
Epoch 1, Loss: 0.8030663728713989, time: 0.05 seconds
Epoch 2, Loss: 0.7994426488876343, time: 0.06 seconds
Epoch 3, Loss: 0.7949071526527405, time: 0.05 seconds
Epoch 4, Loss: 0.7895148992538452, time: 0.07 seconds
Epoch 5, Loss: 0.7834597229957581, time: 0.07 seconds
Epoch 6, Loss: 0.7762286067008972, time: 0.09 seconds
Epoch 7, Loss: 0.7679615020751953, time: 0.04 seconds
Epoch 8, Loss: 0.7586677074432373, time: 0.08 seconds
Epoch 9, Loss: 0.7482293844223022, time: 0.04 seconds
Epoch 10, Loss: 0.7364596128463745, time: 0.07 seconds
Epoch 11, Loss: 0.7234262824058533, time: 0.04 seconds
Epoch 12, Loss: 0.7088474631309509, time: 0.04 seconds
Epoch 13, Loss: 0.6929905414581299, time: 0.04 seconds
Epoch 14, Loss: 0.6760576367378235, time: 0.04 seconds
Epoch 15, Loss: 0.6583513617515564, time: 0.04 seconds
Epoch 16, Loss: 0.6401788592338562, time: 0.04 seconds
Epoch 17, Loss: 0.6218252778053284, time: 0.04 seconds
Epoch 18, Loss: 0.6038042902946472, time: 0.05 seconds
Epoch 19, Loss: 0.5868781805038452, time: 0.04 seconds
Epoch 20, Loss: 0.5719280242919922, time: 0.04 seconds
Epoch 21, Loss: 0.5599766969680786, time: 0.04 seconds
Epoch 22, Loss: 0.5518742799758911, time: 0.04 seconds
Epoch 23, Loss: 0.5479616522789001, time: 0.04 seconds
Epoch 24, Loss: 0.5475032329559326, time: 0.06 seconds
Epoch 25, Loss: 0.5483254194259644, time: 0.04 seconds
Epoch 26, Loss: 0.5477554202079773, time: 0.05 seconds
Epoch 27, Loss: 0.5440419912338257, time: 0.04 seconds
Epoch 28, Loss: 0.5370718240737915, time: 0.04 seconds
Epoch 29, Loss: 0.5279099345207214, time: 0.04 seconds
Epoch 30, Loss: 0.5179730653762817, time: 0.04 seconds
Epoch 31, Loss: 0.508517324924469, time: 0.04 seconds
Epoch 32, Loss: 0.5003054141998291, time: 0.04 seconds
Epoch 33, Loss: 0.4935465455055237, time: 0.04 seconds
Epoch 34, Loss: 0.48805639147758484, time: 0.04 seconds
Epoch 35, Loss: 0.48349106311798096, time: 0.04 seconds
Epoch 36, Loss: 0.47941410541534424, time: 0.04 seconds
Epoch 37, Loss: 0.4753681719303131, time: 0.04 seconds
Epoch 38, Loss: 0.4711824953556061, time: 0.04 seconds
Epoch 39, Loss: 0.46677127480506897, time: 0.04 seconds
Epoch 40, Loss: 0.4621662199497223, time: 0.04 seconds
Epoch 41, Loss: 0.4575452506542206, time: 0.04 seconds
Epoch 42, Loss: 0.45314863324165344, time: 0.04 seconds
Epoch 43, Loss: 0.44920891523361206, time: 0.04 seconds
Epoch 44, Loss: 0.4459422528743744, time: 0.04 seconds
Epoch 45, Loss: 0.44342008233070374, time: 0.04 seconds
Epoch 46, Loss: 0.44157570600509644, time: 0.04 seconds
Epoch 47, Loss: 0.44021308422088623, time: 0.04 seconds
Epoch 48, Loss: 0.43901702761650085, time: 0.05 seconds
Epoch 49, Loss: 0.4376815855503082, time: 0.04 seconds
Epoch 50, Loss: 0.4360661208629608, time: 0.04 seconds
Epoch 51, Loss: 0.4341684877872467, time: 0.11 seconds
Epoch 52, Loss: 0.43208929896354675, time: 0.04 seconds
Epoch 53, Loss: 0.4300087094306946, time: 0.04 seconds
Epoch 54, Loss: 0.4280249774456024, time: 0.04 seconds
Epoch 55, Loss: 0.4262109100818634, time: 0.04 seconds
Epoch 56, Loss: 0.4246196448802948, time: 0.04 seconds
Epoch 57, Loss: 0.42323997616767883, time: 0.04 seconds
Epoch 58, Loss: 0.4220227599143982, time: 0.06 seconds
Epoch 59, Loss: 0.4209178388118744, time: 0.04 seconds
Epoch 60, Loss: 0.4198876917362213, time: 0.04 seconds
Epoch 61, Loss: 0.4189264476299286, time: 0.04 seconds
Epoch 62, Loss: 0.4180406332015991, time: 0.04 seconds
Epoch 63, Loss: 0.4172382652759552, time: 0.04 seconds
Epoch 64, Loss: 0.4165521562099457, time: 0.04 seconds
Epoch 65, Loss: 0.41600412130355835, time: 0.05 seconds
Epoch 66, Loss: 0.4155559241771698, time: 0.04 seconds
Epoch 67, Loss: 0.4151807725429535, time: 0.04 seconds
Epoch 68, Loss: 0.414846271276474, time: 0.04 seconds
Epoch 69, Loss: 0.41451820731163025, time: 0.04 seconds
Epoch 70, Loss: 0.4141838252544403, time: 0.05 seconds
Epoch 71, Loss: 0.4138440489768982, time: 0.04 seconds
Epoch 72, Loss: 0.41350510716438293, time: 0.04 seconds
Epoch 73, Loss: 0.41317951679229736, time: 0.05 seconds
Epoch 74, Loss: 0.41288870573043823, time: 0.04 seconds
Epoch 75, Loss: 0.4126361608505249, time: 0.04 seconds
Epoch 76, Loss: 0.4124150276184082, time: 0.04 seconds
Epoch 77, Loss: 0.41221243143081665, time: 0.04 seconds
Epoch 78, Loss: 0.4120121896266937, time: 0.04 seconds
Epoch 79, Loss: 0.41180649399757385, time: 0.04 seconds
Epoch 80, Loss: 0.41159191727638245, time: 0.04 seconds
Epoch 81, Loss: 0.41136735677719116, time: 0.04 seconds
Epoch 82, Loss: 0.4111369550228119, time: 0.04 seconds
Epoch 83, Loss: 0.41091400384902954, time: 0.04 seconds
Epoch 84, Loss: 0.41070231795310974, time: 0.04 seconds
Epoch 85, Loss: 0.4105016589164734, time: 0.04 seconds
Epoch 86, Loss: 0.41030827164649963, time: 0.04 seconds
Epoch 87, Loss: 0.41012170910835266, time: 0.04 seconds
Epoch 88, Loss: 0.40993940830230713, time: 0.04 seconds
Epoch 89, Loss: 0.4097532033920288, time: 0.04 seconds
Epoch 90, Loss: 0.40956613421440125, time: 0.04 seconds
Epoch 91, Loss: 0.40937960147857666, time: 0.04 seconds
Epoch 92, Loss: 0.4091934561729431, time: 0.04 seconds
Epoch 93, Loss: 0.4090143144130707, time: 0.20 seconds
Epoch 94, Loss: 0.40884289145469666, time: 0.04 seconds
Epoch 95, Loss: 0.4086792767047882, time: 0.05 seconds
Epoch 96, Loss: 0.4085233807563782, time: 0.04 seconds
Epoch 97, Loss: 0.4083732068538666, time: 0.04 seconds
Epoch 98, Loss: 0.4082244038581848, time: 0.04 seconds
Epoch 99, Loss: 0.40807992219924927, time: 0.04 seconds
Epoch 100, Loss: 0.40793684124946594, time: 0.04 seconds
Epoch 101, Loss: 0.40779539942741394, time: 0.04 seconds
Epoch 102, Loss: 0.4076547920703888, time: 0.04 seconds
Epoch 103, Loss: 0.4075150787830353, time: 0.04 seconds
Epoch 104, Loss: 0.4073764681816101, time: 0.04 seconds
Epoch 105, Loss: 0.4072380065917969, time: 0.04 seconds
Epoch 106, Loss: 0.407101035118103, time: 0.04 seconds
Epoch 107, Loss: 0.40696486830711365, time: 0.04 seconds
Epoch 108, Loss: 0.4068298935890198, time: 0.04 seconds
Epoch 109, Loss: 0.4066954255104065, time: 0.04 seconds
Epoch 110, Loss: 0.40656203031539917, time: 0.04 seconds
Epoch 111, Loss: 0.40643084049224854, time: 0.05 seconds
Epoch 112, Loss: 0.4063013195991516, time: 0.04 seconds
Epoch 113, Loss: 0.40617311000823975, time: 0.05 seconds
Epoch 114, Loss: 0.40604570508003235, time: 0.04 seconds
Epoch 115, Loss: 0.4059181809425354, time: 0.04 seconds
Epoch 116, Loss: 0.4057904779911041, time: 0.08 seconds
Epoch 117, Loss: 0.4056647717952728, time: 0.04 seconds
Epoch 118, Loss: 0.40553873777389526, time: 0.04 seconds
Epoch 119, Loss: 0.40541255474090576, time: 0.04 seconds
Epoch 120, Loss: 0.405286580324173, time: 0.04 seconds
Epoch 121, Loss: 0.4051615595817566, time: 0.06 seconds
Epoch 122, Loss: 0.40503713488578796, time: 0.04 seconds
Epoch 123, Loss: 0.40491241216659546, time: 0.10 seconds
Epoch 124, Loss: 0.4047892391681671, time: 0.04 seconds
Epoch 125, Loss: 0.4046667814254761, time: 0.04 seconds
Epoch 126, Loss: 0.40454405546188354, time: 0.04 seconds
Epoch 127, Loss: 0.4044221341609955, time: 0.04 seconds
Epoch 128, Loss: 0.4042997658252716, time: 0.04 seconds
Epoch 129, Loss: 0.4041777551174164, time: 0.08 seconds
Epoch 130, Loss: 0.4040565490722656, time: 0.04 seconds
Epoch 131, Loss: 0.4039357602596283, time: 0.04 seconds
Epoch 132, Loss: 0.40381476283073425, time: 0.06 seconds
Epoch 133, Loss: 0.4036944806575775, time: 0.04 seconds
Epoch 134, Loss: 0.40357542037963867, time: 0.04 seconds
Epoch 135, Loss: 0.40345698595046997, time: 0.04 seconds
Epoch 136, Loss: 0.40333855152130127, time: 0.05 seconds
