Epoch 0, Loss: 23.858991622924805, time: 0.46 seconds
Epoch 1, Loss: 23.581201553344727, time: 0.12 seconds
Epoch 2, Loss: 23.311368942260742, time: 0.12 seconds
Epoch 3, Loss: 23.049562454223633, time: 0.11 seconds
Epoch 4, Loss: 22.795692443847656, time: 0.09 seconds
Epoch 5, Loss: 22.549602508544922, time: 0.11 seconds
Epoch 6, Loss: 22.311138153076172, time: 0.11 seconds
Epoch 7, Loss: 22.080102920532227, time: 0.11 seconds
Epoch 8, Loss: 21.856216430664062, time: 0.12 seconds
Epoch 9, Loss: 21.63908576965332, time: 0.10 seconds
Epoch 10, Loss: 21.428199768066406, time: 0.12 seconds
Epoch 11, Loss: 21.222949981689453, time: 0.11 seconds
Epoch 12, Loss: 21.022642135620117, time: 0.11 seconds
Epoch 13, Loss: 20.826547622680664, time: 0.13 seconds
Epoch 14, Loss: 20.63392448425293, time: 0.10 seconds
Epoch 15, Loss: 20.444032669067383, time: 0.11 seconds
Epoch 16, Loss: 20.256155014038086, time: 0.11 seconds
Epoch 17, Loss: 20.06959342956543, time: 0.10 seconds
Epoch 18, Loss: 19.8836727142334, time: 0.11 seconds
Epoch 19, Loss: 19.6977596282959, time: 0.12 seconds
Epoch 20, Loss: 19.511255264282227, time: 0.10 seconds
Epoch 21, Loss: 19.3236026763916, time: 0.10 seconds
Epoch 22, Loss: 19.134294509887695, time: 0.09 seconds
Epoch 23, Loss: 18.942869186401367, time: 0.11 seconds
Epoch 24, Loss: 18.7489070892334, time: 0.13 seconds
Epoch 25, Loss: 18.552032470703125, time: 0.10 seconds
Epoch 26, Loss: 18.351900100708008, time: 0.11 seconds
Epoch 27, Loss: 18.1481990814209, time: 0.11 seconds
Epoch 28, Loss: 17.940637588500977, time: 0.12 seconds
Epoch 29, Loss: 17.72893714904785, time: 0.11 seconds
Epoch 30, Loss: 17.512836456298828, time: 0.11 seconds
Epoch 31, Loss: 17.292078018188477, time: 0.11 seconds
Epoch 32, Loss: 17.066408157348633, time: 0.11 seconds
Epoch 33, Loss: 16.835569381713867, time: 0.12 seconds
Epoch 34, Loss: 16.59930992126465, time: 0.11 seconds
Epoch 35, Loss: 16.357376098632812, time: 0.11 seconds
Epoch 36, Loss: 16.10951805114746, time: 0.12 seconds
Epoch 37, Loss: 15.855487823486328, time: 0.10 seconds
Epoch 38, Loss: 15.595050811767578, time: 0.10 seconds
Epoch 39, Loss: 15.32797622680664, time: 0.10 seconds
Epoch 40, Loss: 15.054052352905273, time: 0.12 seconds
Epoch 41, Loss: 14.773077011108398, time: 0.10 seconds
Epoch 42, Loss: 14.484870910644531, time: 0.10 seconds
Epoch 43, Loss: 14.189269065856934, time: 0.09 seconds
Epoch 44, Loss: 13.886123657226562, time: 0.10 seconds
Epoch 45, Loss: 13.575323104858398, time: 0.11 seconds
Epoch 46, Loss: 13.256766319274902, time: 0.11 seconds
Epoch 47, Loss: 12.930388450622559, time: 0.10 seconds
Epoch 48, Loss: 12.596158981323242, time: 0.08 seconds
Epoch 49, Loss: 12.254077911376953, time: 0.10 seconds
Epoch 50, Loss: 11.904194831848145, time: 0.10 seconds
Epoch 51, Loss: 11.546601295471191, time: 0.11 seconds
Epoch 52, Loss: 11.181445121765137, time: 0.09 seconds
Epoch 53, Loss: 10.808927536010742, time: 0.09 seconds
Epoch 54, Loss: 10.42931842803955, time: 0.10 seconds
Epoch 55, Loss: 10.042949676513672, time: 0.09 seconds
Epoch 56, Loss: 9.650227546691895, time: 0.10 seconds
Epoch 57, Loss: 9.251638412475586, time: 0.10 seconds
Epoch 58, Loss: 8.847745895385742, time: 0.10 seconds
Epoch 59, Loss: 8.439205169677734, time: 0.10 seconds
Epoch 60, Loss: 8.02676010131836, time: 0.12 seconds
Epoch 61, Loss: 7.6112518310546875, time: 0.10 seconds
Epoch 62, Loss: 7.193624019622803, time: 0.11 seconds
Epoch 63, Loss: 6.774927616119385, time: 0.11 seconds
Epoch 64, Loss: 6.356320381164551, time: 0.10 seconds
Epoch 65, Loss: 5.939071178436279, time: 0.10 seconds
Epoch 66, Loss: 5.524565696716309, time: 0.10 seconds
Epoch 67, Loss: 5.114299297332764, time: 0.09 seconds
Epoch 68, Loss: 4.709876537322998, time: 0.10 seconds
Epoch 69, Loss: 4.3130106925964355, time: 0.10 seconds
Epoch 70, Loss: 3.925510883331299, time: 0.11 seconds
Epoch 71, Loss: 3.549269437789917, time: 0.10 seconds
Epoch 72, Loss: 3.186250686645508, time: 0.13 seconds
Epoch 73, Loss: 2.8384640216827393, time: 0.09 seconds
Epoch 74, Loss: 2.5079386234283447, time: 0.11 seconds
Epoch 75, Loss: 2.1966822147369385, time: 0.11 seconds
Epoch 76, Loss: 1.906644344329834, time: 0.10 seconds
Epoch 77, Loss: 1.639657735824585, time: 0.11 seconds
Epoch 78, Loss: 1.3973768949508667, time: 0.12 seconds
Epoch 79, Loss: 1.181204915046692, time: 0.12 seconds
Epoch 80, Loss: 0.9922170639038086, time: 0.11 seconds
Epoch 81, Loss: 0.8310723304748535, time: 0.10 seconds
Epoch 82, Loss: 0.6979303359985352, time: 0.11 seconds
Epoch 83, Loss: 0.5923730731010437, time: 0.11 seconds
Epoch 84, Loss: 0.5133414268493652, time: 0.11 seconds
Epoch 85, Loss: 0.4590955972671509, time: 0.11 seconds
Epoch 86, Loss: 0.4272159934043884, time: 0.11 seconds
Epoch 87, Loss: 0.4146524965763092, time: 0.10 seconds
Epoch 88, Loss: 0.4178294241428375, time: 0.12 seconds
Epoch 89, Loss: 0.43281108140945435, time: 0.11 seconds
Epoch 90, Loss: 0.4555191397666931, time: 0.10 seconds
Epoch 91, Loss: 0.4819830358028412, time: 0.09 seconds
Epoch 92, Loss: 0.5085957050323486, time: 0.08 seconds
Epoch 93, Loss: 0.5323382616043091, time: 0.09 seconds
Epoch 94, Loss: 0.5509423017501831, time: 0.11 seconds
Epoch 95, Loss: 0.5629680752754211, time: 0.10 seconds
Epoch 96, Loss: 0.5677942037582397, time: 0.10 seconds
Epoch 97, Loss: 0.565530002117157, time: 0.11 seconds
Epoch 98, Loss: 0.5568681955337524, time: 0.11 seconds
Epoch 99, Loss: 0.5429162383079529, time: 0.11 seconds
Epoch 100, Loss: 0.5250159502029419, time: 0.10 seconds
Epoch 101, Loss: 0.5045844912528992, time: 0.11 seconds
Epoch 102, Loss: 0.482980340719223, time: 0.11 seconds
Epoch 103, Loss: 0.4614076316356659, time: 0.11 seconds
Epoch 104, Loss: 0.44085419178009033, time: 0.10 seconds
Epoch 105, Loss: 0.42206305265426636, time: 0.11 seconds
Epoch 106, Loss: 0.40552833676338196, time: 0.10 seconds
Epoch 107, Loss: 0.39151427149772644, time: 0.11 seconds
Epoch 108, Loss: 0.3800845742225647, time: 0.11 seconds
Epoch 109, Loss: 0.3711414337158203, time: 0.11 seconds
Epoch 110, Loss: 0.36446601152420044, time: 0.09 seconds
Epoch 111, Loss: 0.35975727438926697, time: 0.11 seconds
Epoch 112, Loss: 0.3566678464412689, time: 0.11 seconds
Epoch 113, Loss: 0.3548346757888794, time: 0.11 seconds
Epoch 114, Loss: 0.35390302538871765, time: 0.12 seconds
Epoch 115, Loss: 0.35354506969451904, time: 0.12 seconds
Epoch 116, Loss: 0.3534723222255707, time: 0.11 seconds
Epoch 117, Loss: 0.3534441590309143, time: 0.10 seconds
Epoch 118, Loss: 0.35327020287513733, time: 0.12 seconds
Epoch 119, Loss: 0.3528110980987549, time: 0.11 seconds
Epoch 120, Loss: 0.3519758880138397, time: 0.12 seconds
Epoch 121, Loss: 0.3507167398929596, time: 0.11 seconds
Epoch 122, Loss: 0.3490229845046997, time: 0.12 seconds
Epoch 123, Loss: 0.34691548347473145, time: 0.11 seconds
Epoch 124, Loss: 0.34443822503089905, time: 0.11 seconds
Epoch 125, Loss: 0.34165212512016296, time: 0.11 seconds
Epoch 126, Loss: 0.33862802386283875, time: 0.10 seconds
Epoch 127, Loss: 0.3354412019252777, time: 0.12 seconds
Epoch 128, Loss: 0.33216556906700134, time: 0.10 seconds
Epoch 129, Loss: 0.3288697898387909, time: 0.11 seconds
Epoch 130, Loss: 0.32561397552490234, time: 0.11 seconds
Epoch 131, Loss: 0.3224472105503082, time: 0.11 seconds
Epoch 132, Loss: 0.3194063603878021, time: 0.10 seconds
Epoch 133, Loss: 0.3165154457092285, time: 0.12 seconds
