Epoch 0, Data Loss: 25.294536590576172, Physics Loss: 4.947701930999756, Total Loss: 25.789306640625, time: 4.44 seconds
Epoch 1, Data Loss: 24.865497589111328, Physics Loss: 4.991396903991699, Total Loss: 25.36463737487793, time: 4.60 seconds
Epoch 2, Data Loss: 24.3945255279541, Physics Loss: 5.03975248336792, Total Loss: 24.898500442504883, time: 4.89 seconds
Epoch 3, Data Loss: 23.7475643157959, Physics Loss: 5.106924057006836, Total Loss: 24.258256912231445, time: 4.76 seconds
Epoch 4, Data Loss: 22.932350158691406, Physics Loss: 5.192901134490967, Total Loss: 23.451641082763672, time: 4.81 seconds
Epoch 5, Data Loss: 21.92350959777832, Physics Loss: 5.30153226852417, Total Loss: 22.453662872314453, time: 4.84 seconds
Epoch 6, Data Loss: 20.679670333862305, Physics Loss: 5.439088821411133, Total Loss: 21.22357940673828, time: 4.81 seconds
Epoch 7, Data Loss: 19.18419075012207, Physics Loss: 5.610320568084717, Total Loss: 19.745222091674805, time: 4.83 seconds
Epoch 8, Data Loss: 17.417333602905273, Physics Loss: 5.82195520401001, Total Loss: 17.999528884887695, time: 4.84 seconds
Epoch 9, Data Loss: 15.371336936950684, Physics Loss: 6.081719398498535, Total Loss: 15.979509353637695, time: 5.32 seconds
Epoch 10, Data Loss: 13.075872421264648, Physics Loss: 6.396021842956543, Total Loss: 13.715475082397461, time: 4.90 seconds
Epoch 11, Data Loss: 10.604954719543457, Physics Loss: 6.769501686096191, Total Loss: 11.281905174255371, time: 4.85 seconds
Epoch 12, Data Loss: 8.036128044128418, Physics Loss: 7.212621212005615, Total Loss: 8.757390022277832, time: 5.04 seconds
Epoch 13, Data Loss: 5.510641574859619, Physics Loss: 7.735945701599121, Total Loss: 6.284235954284668, time: 4.91 seconds
Epoch 14, Data Loss: 3.2508013248443604, Physics Loss: 8.349366188049316, Total Loss: 4.085738182067871, time: 4.83 seconds
Epoch 15, Data Loss: 1.580904483795166, Physics Loss: 9.057523727416992, Total Loss: 2.486656904220581, time: 4.81 seconds
Epoch 16, Data Loss: 0.904739260673523, Physics Loss: 9.84715747833252, Total Loss: 1.8894550800323486, time: 4.97 seconds
Epoch 17, Data Loss: 1.5046583414077759, Physics Loss: 10.65402889251709, Total Loss: 2.570061206817627, time: 4.82 seconds
Epoch 18, Data Loss: 2.985238790512085, Physics Loss: 11.320880889892578, Total Loss: 4.117326736450195, time: 4.89 seconds
Epoch 19, Data Loss: 4.166854381561279, Physics Loss: 11.683985710144043, Total Loss: 5.33525276184082, time: 4.96 seconds
Epoch 20, Data Loss: 4.335707664489746, Physics Loss: 11.729660987854004, Total Loss: 5.508673667907715, time: 4.86 seconds
Epoch 21, Data Loss: 3.6512529850006104, Physics Loss: 11.534213066101074, Total Loss: 4.80467414855957, time: 4.89 seconds
Epoch 22, Data Loss: 2.6268603801727295, Physics Loss: 11.188654899597168, Total Loss: 3.7457258701324463, time: 4.88 seconds
Epoch 23, Data Loss: 1.7001268863677979, Physics Loss: 10.76683235168457, Total Loss: 2.7768101692199707, time: 5.05 seconds
Epoch 24, Data Loss: 1.1137243509292603, Physics Loss: 10.327385902404785, Total Loss: 2.146462917327881, time: 4.87 seconds
Epoch 25, Data Loss: 0.9152841567993164, Physics Loss: 9.913778305053711, Total Loss: 1.9066619873046875, time: 4.89 seconds
Epoch 26, Data Loss: 1.0216503143310547, Physics Loss: 9.55364990234375, Total Loss: 1.9770152568817139, time: 4.93 seconds
Epoch 27, Data Loss: 1.2986990213394165, Physics Loss: 9.261611938476562, Total Loss: 2.224860191345215, time: 4.87 seconds
Epoch 28, Data Loss: 1.6182066202163696, Physics Loss: 9.042877197265625, Total Loss: 2.522494316101074, time: 4.85 seconds
Epoch 29, Data Loss: 1.8757349252700806, Physics Loss: 8.901566505432129, Total Loss: 2.7658915519714355, time: 4.82 seconds
Epoch 30, Data Loss: 2.0222485065460205, Physics Loss: 8.829602241516113, Total Loss: 2.9052088260650635, time: 4.86 seconds
Epoch 31, Data Loss: 2.049118757247925, Physics Loss: 8.816956520080566, Total Loss: 2.930814504623413, time: 4.86 seconds
Epoch 32, Data Loss: 1.964245080947876, Physics Loss: 8.857569694519043, Total Loss: 2.8500020503997803, time: 4.66 seconds
Epoch 33, Data Loss: 1.7916178703308105, Physics Loss: 8.945549964904785, Total Loss: 2.6861729621887207, time: 4.45 seconds
Epoch 34, Data Loss: 1.5661636590957642, Physics Loss: 9.074735641479492, Total Loss: 2.473637104034424, time: 4.45 seconds
Epoch 35, Data Loss: 1.3287817239761353, Physics Loss: 9.238120079040527, Total Loss: 2.252593755722046, time: 4.43 seconds
Epoch 36, Data Loss: 1.1206297874450684, Physics Loss: 9.427227020263672, Total Loss: 2.063352584838867, time: 4.48 seconds
Epoch 37, Data Loss: 0.9761002659797668, Physics Loss: 9.631434440612793, Total Loss: 1.9392437934875488, time: 4.53 seconds
Epoch 38, Data Loss: 0.9146925210952759, Physics Loss: 9.837672233581543, Total Loss: 1.8984596729278564, time: 5.60 seconds
Epoch 39, Data Loss: 0.9341530799865723, Physics Loss: 10.030549049377441, Total Loss: 1.9372080564498901, time: 4.76 seconds
Epoch 40, Data Loss: 1.0086710453033447, Physics Loss: 10.193706512451172, Total Loss: 2.0280418395996094, time: 4.65 seconds
Epoch 41, Data Loss: 1.0963555574417114, Physics Loss: 10.312479972839355, Total Loss: 2.127603530883789, time: 5.55 seconds
Epoch 42, Data Loss: 1.1560395956039429, Physics Loss: 10.37740421295166, Total Loss: 2.193779945373535, time: 5.10 seconds
Epoch 43, Data Loss: 1.1642251014709473, Physics Loss: 10.386046409606934, Total Loss: 2.2028298377990723, time: 4.50 seconds
Epoch 44, Data Loss: 1.1221339702606201, Physics Loss: 10.34296989440918, Total Loss: 2.156430959701538, time: 5.51 seconds
Epoch 45, Data Loss: 1.050563097000122, Physics Loss: 10.258164405822754, Total Loss: 2.0763795375823975, time: 5.27 seconds
Epoch 46, Data Loss: 0.9775522351264954, Physics Loss: 10.14482307434082, Total Loss: 1.992034673690796, time: 4.57 seconds
Epoch 47, Data Loss: 0.9261534810066223, Physics Loss: 10.017027854919434, Total Loss: 1.927856206893921, time: 5.02 seconds
