Epoch 0, Loss: 25.620635986328125, time: 0.82 seconds
Epoch 1, Loss: 23.53168296813965, time: 0.78 seconds
Epoch 2, Loss: 20.66712760925293, time: 0.77 seconds
Epoch 3, Loss: 17.195064544677734, time: 0.79 seconds
Epoch 4, Loss: 13.326871871948242, time: 0.79 seconds
Epoch 5, Loss: 9.577775955200195, time: 0.77 seconds
Epoch 6, Loss: 6.081136226654053, time: 0.77 seconds
Epoch 7, Loss: 3.1941723823547363, time: 0.65 seconds
Epoch 8, Loss: 1.3426610231399536, time: 0.74 seconds
Epoch 9, Loss: 0.9777454733848572, time: 0.78 seconds
Epoch 10, Loss: 2.162360429763794, time: 0.78 seconds
Epoch 11, Loss: 3.8703153133392334, time: 0.79 seconds
Epoch 12, Loss: 4.749012470245361, time: 0.74 seconds
Epoch 13, Loss: 4.484719276428223, time: 0.76 seconds
Epoch 14, Loss: 3.512760639190674, time: 0.78 seconds
Epoch 15, Loss: 2.390115976333618, time: 0.76 seconds
Epoch 16, Loss: 1.504306674003601, time: 0.78 seconds
Epoch 17, Loss: 1.0192548036575317, time: 0.77 seconds
Epoch 18, Loss: 0.9184373021125793, time: 0.78 seconds
Epoch 19, Loss: 1.0862486362457275, time: 0.77 seconds
Epoch 20, Loss: 1.3805580139160156, time: 0.76 seconds
Epoch 21, Loss: 1.6770880222320557, time: 0.78 seconds
Epoch 22, Loss: 1.8973766565322876, time: 0.73 seconds
Epoch 23, Loss: 2.0016002655029297, time: 0.73 seconds
Epoch 24, Loss: 1.9813106060028076, time: 0.78 seconds
Epoch 25, Loss: 1.8534141778945923, time: 0.76 seconds
Epoch 26, Loss: 1.6513794660568237, time: 0.73 seconds
Epoch 27, Loss: 1.417012095451355, time: 0.73 seconds
Epoch 28, Loss: 1.194122076034546, time: 0.75 seconds
Epoch 29, Loss: 1.021968960762024, time: 0.75 seconds
Epoch 30, Loss: 0.9277975559234619, time: 0.76 seconds
Epoch 31, Loss: 0.9194977283477783, time: 0.76 seconds
Epoch 32, Loss: 0.982586681842804, time: 0.78 seconds
Epoch 33, Loss: 1.08295738697052, time: 0.72 seconds
Epoch 34, Loss: 1.1778056621551514, time: 0.78 seconds
Epoch 35, Loss: 1.231164574623108, time: 0.73 seconds
Epoch 36, Loss: 1.2265100479125977, time: 0.76 seconds
Epoch 37, Loss: 1.1704938411712646, time: 0.78 seconds
Epoch 38, Loss: 1.0863701105117798, time: 0.77 seconds
Epoch 39, Loss: 1.002278208732605, time: 0.78 seconds
Epoch 40, Loss: 0.9406141042709351, time: 0.75 seconds
Epoch 41, Loss: 0.9120514988899231, time: 0.76 seconds
Epoch 42, Loss: 0.9151046276092529, time: 0.76 seconds
Epoch 43, Loss: 0.9395930767059326, time: 0.70 seconds
Epoch 44, Loss: 0.9717748761177063, time: 0.78 seconds
Epoch 45, Loss: 0.9991607069969177, time: 0.78 seconds
Epoch 46, Loss: 1.013323426246643, time: 0.66 seconds
Epoch 47, Loss: 1.011046290397644, time: 0.75 seconds
Epoch 48, Loss: 0.9942238330841064, time: 0.75 seconds
Epoch 49, Loss: 0.9685041308403015, time: 0.78 seconds
Epoch 50, Loss: 0.9412626028060913, time: 0.75 seconds
Epoch 51, Loss: 0.9194378852844238, time: 0.77 seconds
Epoch 52, Loss: 0.9076217412948608, time: 0.78 seconds
Epoch 53, Loss: 0.9068933129310608, time: 0.77 seconds
Epoch 54, Loss: 0.9147693514823914, time: 0.79 seconds
Epoch 55, Loss: 0.9263363480567932, time: 0.77 seconds
Epoch 56, Loss: 0.9361640214920044, time: 0.76 seconds
Epoch 57, Loss: 0.9402871131896973, time: 0.77 seconds
Epoch 58, Loss: 0.9374402761459351, time: 0.78 seconds
Epoch 59, Loss: 0.9291127324104309, time: 0.70 seconds
Epoch 60, Loss: 0.9185465574264526, time: 0.77 seconds
Epoch 61, Loss: 0.9092510938644409, time: 0.64 seconds
Epoch 62, Loss: 0.9036698937416077, time: 0.72 seconds
Epoch 63, Loss: 0.9025247097015381, time: 0.73 seconds
Epoch 64, Loss: 0.9049060344696045, time: 0.70 seconds
Epoch 65, Loss: 0.9089106321334839, time: 0.66 seconds
Epoch 66, Loss: 0.912473201751709, time: 0.73 seconds
Epoch 67, Loss: 0.9140833616256714, time: 0.74 seconds
Epoch 68, Loss: 0.9131945371627808, time: 0.74 seconds
Epoch 69, Loss: 0.9102346897125244, time: 0.69 seconds
Epoch 70, Loss: 0.9063011407852173, time: 0.76 seconds
Epoch 71, Loss: 0.9026787877082825, time: 0.78 seconds
Epoch 72, Loss: 0.9003590941429138, time: 0.73 seconds
Epoch 73, Loss: 0.8997262120246887, time: 0.76 seconds
Epoch 74, Loss: 0.9004995226860046, time: 0.73 seconds
Epoch 75, Loss: 0.9019263982772827, time: 0.76 seconds
Epoch 76, Loss: 0.9031376242637634, time: 0.76 seconds
Epoch 77, Loss: 0.9035017490386963, time: 0.77 seconds
Epoch 78, Loss: 0.9028352499008179, time: 0.79 seconds
Epoch 79, Loss: 0.9014006853103638, time: 0.02 seconds
Epoch 80, Loss: 0.8997274041175842, time: 0.65 seconds
Epoch 81, Loss: 0.8983555436134338, time: 0.54 seconds
Epoch 82, Loss: 0.8976141214370728, time: 0.70 seconds
Epoch 83, Loss: 0.8975286483764648, time: 0.75 seconds
Epoch 84, Loss: 0.897869884967804, time: 0.05 seconds
Epoch 85, Loss: 0.8982861638069153, time: 0.02 seconds
Epoch 86, Loss: 0.8984644412994385, time: 0.68 seconds
Epoch 87, Loss: 0.8982470035552979, time: 0.73 seconds
Epoch 88, Loss: 0.8976634740829468, time: 0.78 seconds
Epoch 89, Loss: 0.896891176700592, time: 0.75 seconds
Epoch 90, Loss: 0.8961561322212219, time: 0.78 seconds
Epoch 91, Loss: 0.8956332206726074, time: 0.75 seconds
Epoch 92, Loss: 0.8953844308853149, time: 0.75 seconds
Epoch 93, Loss: 0.895349383354187, time: 0.79 seconds
Epoch 94, Loss: 0.8953911662101746, time: 0.76 seconds
Epoch 95, Loss: 0.8953635096549988, time: 0.78 seconds
Epoch 96, Loss: 0.8951788544654846, time: 0.78 seconds
Epoch 97, Loss: 0.8948332071304321, time: 0.76 seconds
