Epoch 0, Loss: 0.21389056742191315, time: 0.26 seconds
Epoch 1, Loss: 0.2118033915758133, time: 0.01 seconds
Epoch 2, Loss: 0.20970264077186584, time: 0.01 seconds
Epoch 3, Loss: 0.2075776606798172, time: 0.01 seconds
Epoch 4, Loss: 0.20542486011981964, time: 0.01 seconds
Epoch 5, Loss: 0.2032475769519806, time: 0.01 seconds
Epoch 6, Loss: 0.2010357677936554, time: 0.01 seconds
Epoch 7, Loss: 0.1987936645746231, time: 0.01 seconds
Epoch 8, Loss: 0.19651466608047485, time: 0.01 seconds
Epoch 9, Loss: 0.1941898763179779, time: 0.01 seconds
Epoch 10, Loss: 0.1918187141418457, time: 0.01 seconds
Epoch 11, Loss: 0.18939906358718872, time: 0.01 seconds
Epoch 12, Loss: 0.18692679703235626, time: 0.01 seconds
Epoch 13, Loss: 0.18439282476902008, time: 0.00 seconds
Epoch 14, Loss: 0.18178769946098328, time: 0.01 seconds
Epoch 15, Loss: 0.17911294102668762, time: 0.00 seconds
Epoch 16, Loss: 0.1763666868209839, time: 0.01 seconds
Epoch 17, Loss: 0.17353618144989014, time: 0.01 seconds
Epoch 18, Loss: 0.17061997950077057, time: 0.01 seconds
Epoch 19, Loss: 0.1676153838634491, time: 0.01 seconds
Epoch 20, Loss: 0.16451159119606018, time: 0.01 seconds
Epoch 21, Loss: 0.16130681335926056, time: 0.00 seconds
Epoch 22, Loss: 0.15799970924854279, time: 0.01 seconds
Epoch 23, Loss: 0.15458272397518158, time: 0.00 seconds
Epoch 24, Loss: 0.15106022357940674, time: 0.01 seconds
Epoch 25, Loss: 0.14741916954517365, time: 0.01 seconds
Epoch 26, Loss: 0.1436549723148346, time: 0.01 seconds
Epoch 27, Loss: 0.13977575302124023, time: 0.01 seconds
Epoch 28, Loss: 0.13577231764793396, time: 0.01 seconds
Epoch 29, Loss: 0.13164402544498444, time: 0.01 seconds
Epoch 30, Loss: 0.12739570438861847, time: 0.01 seconds
Epoch 31, Loss: 0.1230204775929451, time: 0.01 seconds
Epoch 32, Loss: 0.11852509528398514, time: 0.01 seconds
Epoch 33, Loss: 0.11391028016805649, time: 0.01 seconds
Epoch 34, Loss: 0.10917943716049194, time: 0.01 seconds
Epoch 35, Loss: 0.10433626919984818, time: 0.01 seconds
Epoch 36, Loss: 0.09938515722751617, time: 0.01 seconds
Epoch 37, Loss: 0.09434070438146591, time: 0.01 seconds
Epoch 38, Loss: 0.0892031118273735, time: 0.01 seconds
Epoch 39, Loss: 0.083991639316082, time: 0.01 seconds
Epoch 40, Loss: 0.07872474193572998, time: 0.01 seconds
Epoch 41, Loss: 0.07340340316295624, time: 0.01 seconds
Epoch 42, Loss: 0.06805793941020966, time: 0.01 seconds
Epoch 43, Loss: 0.0627109631896019, time: 0.01 seconds
Epoch 44, Loss: 0.057377323508262634, time: 0.01 seconds
Epoch 45, Loss: 0.05209703743457794, time: 0.01 seconds
Epoch 46, Loss: 0.04688342660665512, time: 0.02 seconds
Epoch 47, Loss: 0.041780777275562286, time: 0.01 seconds
Epoch 48, Loss: 0.03684092313051224, time: 0.01 seconds
Epoch 49, Loss: 0.03207673504948616, time: 0.01 seconds
Epoch 50, Loss: 0.02753080427646637, time: 0.01 seconds
Epoch 51, Loss: 0.023269163444638252, time: 0.01 seconds
Epoch 52, Loss: 0.019314467906951904, time: 0.01 seconds
Epoch 53, Loss: 0.015721306204795837, time: 0.01 seconds
Epoch 54, Loss: 0.01252029836177826, time: 0.01 seconds
Epoch 55, Loss: 0.009748770855367184, time: 0.01 seconds
Epoch 56, Loss: 0.0074303788132965565, time: 0.01 seconds
Epoch 57, Loss: 0.0055857691913843155, time: 0.01 seconds
Epoch 58, Loss: 0.0042105428874492645, time: 0.01 seconds
Epoch 59, Loss: 0.0032890085130929947, time: 0.01 seconds
Epoch 60, Loss: 0.002784211654216051, time: 0.01 seconds
Epoch 61, Loss: 0.002641070866957307, time: 0.01 seconds
Epoch 62, Loss: 0.0027826849836856127, time: 0.01 seconds
Epoch 63, Loss: 0.0031226330902427435, time: 0.01 seconds
Epoch 64, Loss: 0.003566299332305789, time: 0.01 seconds
Epoch 65, Loss: 0.004019506741315126, time: 0.01 seconds
Epoch 66, Loss: 0.004401503596454859, time: 0.01 seconds
Epoch 67, Loss: 0.004657847806811333, time: 0.01 seconds
Epoch 68, Loss: 0.004758654627948999, time: 0.01 seconds
Epoch 69, Loss: 0.004683493636548519, time: 0.01 seconds
Epoch 70, Loss: 0.004451551474630833, time: 0.01 seconds
Epoch 71, Loss: 0.004091405775398016, time: 0.00 seconds
Epoch 72, Loss: 0.00364584568887949, time: 0.01 seconds
Epoch 73, Loss: 0.0031484293285757303, time: 0.01 seconds
Epoch 74, Loss: 0.002643796382471919, time: 0.01 seconds
Epoch 75, Loss: 0.0021619051694869995, time: 0.01 seconds
Epoch 76, Loss: 0.0017287121154367924, time: 0.01 seconds
Epoch 77, Loss: 0.0013587517896667123, time: 0.01 seconds
Epoch 78, Loss: 0.0010644251015037298, time: 0.01 seconds
Epoch 79, Loss: 0.0008433034527115524, time: 0.01 seconds
Epoch 80, Loss: 0.000691519002430141, time: 0.01 seconds
Epoch 81, Loss: 0.000600188912358135, time: 0.01 seconds
Epoch 82, Loss: 0.0005579550634138286, time: 0.01 seconds
Epoch 83, Loss: 0.0005531102069653571, time: 0.01 seconds
Epoch 84, Loss: 0.0005737342871725559, time: 0.01 seconds
Epoch 85, Loss: 0.000608512491453439, time: 0.01 seconds
Epoch 86, Loss: 0.0006484052282758057, time: 0.01 seconds
Epoch 87, Loss: 0.0006858139531686902, time: 0.01 seconds
Epoch 88, Loss: 0.0007155588828027248, time: 0.01 seconds
Epoch 89, Loss: 0.000733015185687691, time: 0.01 seconds
Epoch 90, Loss: 0.000737656548153609, time: 0.01 seconds
Epoch 91, Loss: 0.0007299412973225117, time: 0.01 seconds
Epoch 92, Loss: 0.0007083720411173999, time: 0.01 seconds
Epoch 93, Loss: 0.000676765339449048, time: 0.01 seconds
Epoch 94, Loss: 0.0006378565449267626, time: 0.01 seconds
Epoch 95, Loss: 0.0005938871181569993, time: 0.01 seconds
Epoch 96, Loss: 0.0005473852506838739, time: 0.01 seconds
Epoch 97, Loss: 0.0005024663405492902, time: 0.01 seconds
Epoch 98, Loss: 0.00046049521188251674, time: 0.00 seconds
Epoch 99, Loss: 0.00042346841655671597, time: 0.01 seconds
Epoch 100, Loss: 0.0003926113713532686, time: 0.01 seconds
Epoch 101, Loss: 0.00036916439421474934, time: 0.01 seconds
Epoch 102, Loss: 0.00035196615499444306, time: 0.01 seconds
Epoch 103, Loss: 0.00034160586073994637, time: 0.01 seconds
Epoch 104, Loss: 0.0003365110023878515, time: 0.01 seconds
Epoch 105, Loss: 0.00033572196844033897, time: 0.01 seconds
Epoch 106, Loss: 0.0003379554837010801, time: 0.01 seconds
Epoch 107, Loss: 0.0003417776897549629, time: 0.01 seconds
Epoch 108, Loss: 0.0003463184693828225, time: 0.01 seconds
Epoch 109, Loss: 0.0003498726582620293, time: 0.00 seconds
Epoch 110, Loss: 0.00035239028511568904, time: 0.01 seconds
Epoch 111, Loss: 0.0003524655767250806, time: 0.01 seconds
Epoch 112, Loss: 0.0003509676025714725, time: 0.01 seconds
Epoch 113, Loss: 0.00034718384267762303, time: 0.01 seconds
Epoch 114, Loss: 0.00034205050906166434, time: 0.01 seconds
Epoch 115, Loss: 0.00033532388624735177, time: 0.01 seconds
Epoch 116, Loss: 0.0003275521448813379, time: 0.01 seconds
Epoch 117, Loss: 0.0003191279829479754, time: 0.01 seconds
Epoch 118, Loss: 0.0003114085702691227, time: 0.01 seconds
Epoch 119, Loss: 0.0003039546136278659, time: 0.01 seconds
Epoch 120, Loss: 0.0002970215864479542, time: 0.01 seconds
Epoch 121, Loss: 0.0002910536713898182, time: 0.01 seconds
Epoch 122, Loss: 0.00028606492560356855, time: 0.01 seconds
Epoch 123, Loss: 0.0002821082016453147, time: 0.01 seconds
Epoch 124, Loss: 0.00027876286185346544, time: 0.01 seconds
Epoch 125, Loss: 0.00027629118994809687, time: 0.01 seconds
Epoch 126, Loss: 0.00027420747210271657, time: 0.01 seconds
Epoch 127, Loss: 0.00027250219136476517, time: 0.01 seconds
Epoch 128, Loss: 0.00027098943246528506, time: 0.01 seconds
Epoch 129, Loss: 0.00026943592820316553, time: 0.01 seconds
Epoch 130, Loss: 0.0002677775628399104, time: 0.01 seconds
Epoch 131, Loss: 0.0002660233585629612, time: 0.01 seconds
Epoch 132, Loss: 0.00026399496709927917, time: 0.01 seconds
Epoch 133, Loss: 0.00026183301815763116, time: 0.01 seconds
Epoch 134, Loss: 0.00025935214944183826, time: 0.01 seconds
Epoch 135, Loss: 0.0002568693598732352, time: 0.01 seconds
Epoch 136, Loss: 0.0002542203292250633, time: 0.01 seconds
Epoch 137, Loss: 0.00025154362083412707, time: 0.01 seconds
Epoch 138, Loss: 0.00024903472512960434, time: 0.01 seconds
