Epoch 0, Data Loss: 0.20669309794902802, Physics Loss: 10.960758209228516, Total Loss: 1.3027689456939697, time: 0.46 seconds
Epoch 1, Data Loss: 0.20236080884933472, Physics Loss: 10.960758209228516, Total Loss: 1.2984366416931152, time: 0.49 seconds
Epoch 2, Data Loss: 0.1973268985748291, Physics Loss: 10.960758209228516, Total Loss: 1.2934027910232544, time: 0.50 seconds
Epoch 3, Data Loss: 0.19150321185588837, Physics Loss: 10.960758209228516, Total Loss: 1.28757905960083, time: 0.50 seconds
Epoch 4, Data Loss: 0.18550607562065125, Physics Loss: 10.960758209228516, Total Loss: 1.281581997871399, time: 0.47 seconds
Epoch 5, Data Loss: 0.1790408343076706, Physics Loss: 10.960758209228516, Total Loss: 1.2751166820526123, time: 0.47 seconds
Epoch 6, Data Loss: 0.17205092310905457, Physics Loss: 10.960758209228516, Total Loss: 1.2681268453598022, time: 0.55 seconds
Epoch 7, Data Loss: 0.1644073724746704, Physics Loss: 10.960758209228516, Total Loss: 1.2604832649230957, time: 0.45 seconds
Epoch 8, Data Loss: 0.15605825185775757, Physics Loss: 10.960758209228516, Total Loss: 1.252134084701538, time: 0.44 seconds
Epoch 9, Data Loss: 0.14700748026371002, Physics Loss: 10.960758209228516, Total Loss: 1.2430833578109741, time: 0.46 seconds
Epoch 10, Data Loss: 0.13735933601856232, Physics Loss: 10.960758209228516, Total Loss: 1.2334352731704712, time: 0.44 seconds
Epoch 11, Data Loss: 0.12714412808418274, Physics Loss: 10.960758209228516, Total Loss: 1.2232199907302856, time: 0.46 seconds
Epoch 12, Data Loss: 0.11640986055135727, Physics Loss: 10.960758209228516, Total Loss: 1.2124857902526855, time: 0.48 seconds
Epoch 13, Data Loss: 0.10534415394067764, Physics Loss: 10.960758209228516, Total Loss: 1.2014200687408447, time: 0.46 seconds
Epoch 14, Data Loss: 0.094148650765419, Physics Loss: 10.960758209228516, Total Loss: 1.190224528312683, time: 0.51 seconds
Epoch 15, Data Loss: 0.0830448716878891, Physics Loss: 10.960758209228516, Total Loss: 1.1791207790374756, time: 0.44 seconds
Epoch 16, Data Loss: 0.0722995400428772, Physics Loss: 10.960758209228516, Total Loss: 1.1683754920959473, time: 0.54 seconds
Epoch 17, Data Loss: 0.06214424595236778, Physics Loss: 10.960758209228516, Total Loss: 1.1582201719284058, time: 0.48 seconds
Epoch 18, Data Loss: 0.052845921367406845, Physics Loss: 10.960758209228516, Total Loss: 1.1489218473434448, time: 0.46 seconds
Epoch 19, Data Loss: 0.044499173760414124, Physics Loss: 10.960758209228516, Total Loss: 1.1405750513076782, time: 0.44 seconds
Epoch 20, Data Loss: 0.037098150700330734, Physics Loss: 10.960758209228516, Total Loss: 1.1331740617752075, time: 0.47 seconds
Epoch 21, Data Loss: 0.03086129203438759, Physics Loss: 10.960758209228516, Total Loss: 1.1269371509552002, time: 0.49 seconds
Epoch 22, Data Loss: 0.026018211618065834, Physics Loss: 10.960758209228516, Total Loss: 1.1220941543579102, time: 0.47 seconds
Epoch 23, Data Loss: 0.022725576534867287, Physics Loss: 10.960758209228516, Total Loss: 1.118801474571228, time: 0.47 seconds
Epoch 24, Data Loss: 0.02094889245927334, Physics Loss: 10.960758209228516, Total Loss: 1.1170247793197632, time: 0.45 seconds
Epoch 25, Data Loss: 0.02035502903163433, Physics Loss: 10.960758209228516, Total Loss: 1.1164308786392212, time: 0.44 seconds
Epoch 26, Data Loss: 0.02028999663889408, Physics Loss: 10.960758209228516, Total Loss: 1.116365909576416, time: 0.44 seconds
Epoch 27, Data Loss: 0.019964497536420822, Physics Loss: 10.960758209228516, Total Loss: 1.1160403490066528, time: 0.45 seconds
Epoch 28, Data Loss: 0.019104210659861565, Physics Loss: 10.960758209228516, Total Loss: 1.1151801347732544, time: 0.45 seconds
Epoch 29, Data Loss: 0.017754890024662018, Physics Loss: 10.960758209228516, Total Loss: 1.113830804824829, time: 0.46 seconds
Epoch 30, Data Loss: 0.016193944960832596, Physics Loss: 10.960758209228516, Total Loss: 1.1122698783874512, time: 0.51 seconds
Epoch 31, Data Loss: 0.014049341902136803, Physics Loss: 10.960758209228516, Total Loss: 1.110125184059143, time: 0.59 seconds
Epoch 32, Data Loss: 0.011625247076153755, Physics Loss: 10.960758209228516, Total Loss: 1.1077011823654175, time: 0.47 seconds
Epoch 33, Data Loss: 0.00963454507291317, Physics Loss: 10.960758209228516, Total Loss: 1.1057103872299194, time: 0.56 seconds
Epoch 34, Data Loss: 0.008127291686832905, Physics Loss: 10.960758209228516, Total Loss: 1.104203224182129, time: 0.52 seconds
Epoch 35, Data Loss: 0.007173775229603052, Physics Loss: 10.960758209228516, Total Loss: 1.1032496690750122, time: 0.47 seconds
Epoch 36, Data Loss: 0.006811882834881544, Physics Loss: 10.960758209228516, Total Loss: 1.102887749671936, time: 0.46 seconds
Epoch 37, Data Loss: 0.006918566767126322, Physics Loss: 10.960758209228516, Total Loss: 1.102994441986084, time: 0.58 seconds
Epoch 38, Data Loss: 0.0072994050569832325, Physics Loss: 10.960758209228516, Total Loss: 1.1033753156661987, time: 0.45 seconds
Epoch 39, Data Loss: 0.007750623859465122, Physics Loss: 10.960758209228516, Total Loss: 1.1038265228271484, time: 0.47 seconds
Epoch 40, Data Loss: 0.008105937391519547, Physics Loss: 10.960758209228516, Total Loss: 1.1041818857192993, time: 0.47 seconds
Epoch 41, Data Loss: 0.008259393274784088, Physics Loss: 10.960758209228516, Total Loss: 1.1043353080749512, time: 0.59 seconds
Epoch 42, Data Loss: 0.008162339217960835, Physics Loss: 10.960758209228516, Total Loss: 1.1042382717132568, time: 0.45 seconds
Epoch 43, Data Loss: 0.007840982638299465, Physics Loss: 10.960758209228516, Total Loss: 1.103916883468628, time: 0.44 seconds
Epoch 44, Data Loss: 0.007382750511169434, Physics Loss: 10.960758209228516, Total Loss: 1.1034586429595947, time: 0.46 seconds
Epoch 45, Data Loss: 0.006878030486404896, Physics Loss: 10.960758209228516, Total Loss: 1.1029539108276367, time: 0.46 seconds
Epoch 46, Data Loss: 0.006404867861419916, Physics Loss: 10.960758209228516, Total Loss: 1.1024807691574097, time: 0.47 seconds
Epoch 47, Data Loss: 0.006031679920852184, Physics Loss: 10.960758209228516, Total Loss: 1.1021075248718262, time: 0.63 seconds
Epoch 48, Data Loss: 0.00579675892367959, Physics Loss: 10.960758209228516, Total Loss: 1.1018726825714111, time: 0.44 seconds
Epoch 49, Data Loss: 0.005707311909645796, Physics Loss: 10.960758209228516, Total Loss: 1.1017831563949585, time: 0.45 seconds
Epoch 50, Data Loss: 0.005725754424929619, Physics Loss: 10.960758209228516, Total Loss: 1.1018016338348389, time: 0.45 seconds
Epoch 51, Data Loss: 0.005779904313385487, Physics Loss: 10.960758209228516, Total Loss: 1.101855754852295, time: 0.46 seconds
Epoch 52, Data Loss: 0.005795679520815611, Physics Loss: 10.960758209228516, Total Loss: 1.1018716096878052, time: 0.44 seconds
Epoch 53, Data Loss: 0.005719922948628664, Physics Loss: 10.960758209228516, Total Loss: 1.1017957925796509, time: 0.44 seconds
Epoch 54, Data Loss: 0.005533152725547552, Physics Loss: 10.960758209228516, Total Loss: 1.1016089916229248, time: 0.44 seconds
Epoch 55, Data Loss: 0.005268920212984085, Physics Loss: 10.960758209228516, Total Loss: 1.1013448238372803, time: 0.44 seconds
Epoch 56, Data Loss: 0.004962282255291939, Physics Loss: 10.960758209228516, Total Loss: 1.1010382175445557, time: 0.44 seconds
Epoch 57, Data Loss: 0.004656351637095213, Physics Loss: 10.960758209228516, Total Loss: 1.1007322072982788, time: 0.44 seconds
Epoch 58, Data Loss: 0.004386244807392359, Physics Loss: 10.960758209228516, Total Loss: 1.1004620790481567, time: 0.55 seconds
